"repository","html%","css%","javascript%","jupyternotebook%"
"Awards_Recognitions","79.70","17.00","3.30","0.00"
"Career_Portfolio","80.10","17.20","2.70","0.00"
"Certification_Badges","76.60","19.60","3.80","0.00"
"Clos Eat","77.20","22.80","0.00","0.00"
"Combike_Graphical Analysis","31.10","68.90","0.00","0.00"
"Combike_Home","39.30","60.70","0.00","0.00"
"Combike_Tabular Inventory","84.60","15.40","0.00","0.00"
"Course_Completion","78.60","17.90","3.50","0.00"
"Cycling Journey Clubs","96.90","3.10","0.00","0.00"
"Cycling Journey Cycling History","79.90","20.10","0.00","0.00"
"Cycling Journey Quotes","41.10","58.90","0.00","0.00"
"Cycling Journey What Is My Objective","48.90","51.10","0.00","0.00"
"Cycling Journey Who Am I","34.40","65.60","0.00","0.00"
"Cycling_Journey","62.90","37.10","0.00","0.00"
"Cycling_Journey Bicycle_Brands","91.30","8.70","0.00","0.00"
"Cycling_Journey Bicycle_Overhaul","49.70","50.30","0.00","0.00"
"Cycling_Journey Bicycle_Parts","91.80","8.20","0.00","0.00"
"Cycling_Journey Bicycle_Types","85.30","14.70","0.00","0.00"
"Cycling_Journey Cycling_Events","97.10","2.90","0.00","0.00"
"Cycling_Journey Glossary_of_Terms","96.60","3.40","0.00","0.00"
"Cycling_Journey Rider_Roles","72.70","27.30","0.00","0.00"
"Cycling_Journey The_Gallery","82.00","18.00","0.00","0.00"
"Data Science Projects","44.70","55.30","0.00","0.00"
"Data_Science Xoss_Strava","4.80","0.00","0.00","95.20"
"Data_Science_Combike","6.70","0.00","0.00","93.30"
"Data_Science_GW4","5.00","0.00","0.00","95.00"
"Data_Science_Relive","5.20","0.00","0.00","94.80"
"DISC Profiling","91.00","7.80","1.20","0.00"
"Galaxy Watch 4_Graphical Analysis","28.10","71.90","0.00","0.00"
"Galaxy_Watch4 Tabular_Inventory","89.20","10.80","0.00","0.00"
"GalaxyWatch4_Home","43.60","56.40","0.00","0.00"
"La_Liberacion","55.90","44.10","0.00","0.00"
"MBTI Personality","89.50","9.20","1.30","0.00"
"Projects Compilation Summary","65.50","29.10","5.40","0.00"
"Relive_Graphical Analysis","23.50","76.50","0.00","0.00"
"Relive_Home","36.50","63.50","0.00","0.00"
"Relive_Tabular Inventory","64.80","35.20","0.00","0.00"
"Symposiums_Trainings","91.10","7.50","1.40","0.00"
"The Strength In Our Scars","70.00","20.00","10.00","0.00"
"Unpacking Series_Compensation","77.20","19.30","3.50","0.00"
"Unpacking Series_Contribution Motivated","92.50","6.40","1.10","0.00"
"Unpacking Series_Discovering Your Gifts","84.50","13.10","2.40","0.00"
"Unpacking Series_Experimental Discovery","78.50","18.30","3.20","0.00"
"Unpacking Series_Lessons from the Olympics","91.60","7.10","1.30","0.00"
"Unpacking Series_PBM Tools and Resources","91.60","7.10","1.30","0.00"
"Unpacking Series_Performance Feedback","89.60","8.80","1.60","0.00"
"Unpacking Series_Vision","93.90","5.20","0.90","0.00"
"Xoss Strava_Graphical Analysis","28.00","72.00","0.00","0.00"
"Xoss Strava_Home","39.50","60.50","0.00","0.00"
"Xoss Strava_Tabular Inventory","89.20","10.80","0.00","0.00"
